Project Number,Project Name,Project Status,Project Type,Reporting Region,City,NOA,GEA,GIA,Project Start Date,Construction Start Date,RPDC Date,Estimate at Completion (EAC),Currency Rate,Ownership,General (GNL),Site (STE),Base/Building Core & Shell BSB,MEP,Interiors,FF&E,Legacy,EAC Buckets,Range
AMN-2024-CMB-01,CMB45 — Micro-Kitchen,Complete,Cafe / Amenity,NA,Cambridge,6010,8080,7170,2024-03-20,2024-09-30,2025-05-28,2896763,1.00,Owned,342351,110715,195980,644785,752610,785569,88534,Small,$2–5M
AMN-2024-LON-01,LON20 — Amenity Center,Complete,Cafe / Amenity,EMEA,London,5080,6830,6090,2023-12-17,2024-06-24,2025-02-19,1897061,1.27,Leased,233258,84598,219412,442059,482977,447182,0,Small,$2–5M
AMN-2024-MEX-01,MEX23 — Micro-Kitchen,Complete,Cafe / Amenity,LATAM,Mexico City,5110,6880,6120,2024-02-02,2024-08-12,2025-04-09,19806966,0.058,Owned,2447379,823155,1473759,4997397,4889448,4750483,570879,Small,Under $2M
AMN-2023-MTV-01,MTV45 — Micro-Kitchen,Complete,Cafe / Amenity,NA,Mountain View,9980,12660,11610,2023-03-09,2023-08-21,2024-03-18,4331912,1.00,Owned,370457,154759,330001,1141611,1038817,1161466,121442,Medium,$2–5M
AMN-2024-MTV-01,MTV44 — Cafe Buildout,Complete,Cafe / Amenity,NA,Mountain View,6700,8490,7770,2023-09-19,2024-03-04,2024-09-30,2932876,1.00,Owned,276490,106457,226663,626020,747588,869087,73866,Small,$2–5M
AMN-2024-NYC-01,NYC46 — Micro-Kitchen,Complete,Cafe / Amenity,NA,New York,4690,6310,5610,2023-10-13,2024-04-22,2024-12-18,2513781,1.00,Leased,310606,104469,187041,634240,620538,602902,72454,Small,$2–5M
AMN-2024-SIN-01,SIN14 — Micro-Kitchen,Complete,Cafe / Amenity,APAC,Singapore,6390,8600,7650,2024-02-02,2024-08-12,2025-04-09,3693300,0.74,Owned,456349,153489,274805,931838,911708,885796,106450,Small,$2–5M
AMN-2024-SVL-01,SVL46 — Amenity Center,Complete,Cafe / Amenity,NA,Sunnyvale,5370,7220,6260,2023-12-02,2024-05-13,2024-12-09,2276027,1.00,Owned,274574,85885,203951,555147,553006,594630,0,Small,$2–5M
AMN-2024-SYD-01,Pyrmont — Cafe,Complete,Cafe / Amenity,APAC,Sydney,4420,5950,5220,2024-03-24,2024-10-14,2025-07-11,3098433,0.66,Leased,358902,111917,182227,752948,841824,743483,82752,Small,$2–5M
AMN-2024-TYO-01,TYO44 — Cafe,Complete,Cafe / Amenity,APAC,Tokyo,5620,7120,6440,2024-05-24,2024-11-18,2025-06-16,373039242,0.0066,Owned,40923333,15571515,30677273,88121818,92067273,93395758,12916667,Small,$2–5M
CAP-2024-CHI-01,CHI16 — Capital Improvement,Complete,Capital Improvement,NA,Chicago,34520,50930,45000,2023-12-18,2024-06-17,2025-03-14,7127676,1.00,Leased,776029,249544,414552,2432650,2287016,804451,187846,Medium,$5–10M
CAP-2024-HYD-01,HYD13 — Facade Recommissioning,Complete,Capital Improvement,APAC,Hyderabad,42550,59090,53230,2023-09-07,2024-02-19,2024-10-16,332597000,0.012,Owned,33076917,13139583,16720417,105000583,114265000,40281167,9109083,Medium,$2–5M
CAP-2024-LON-01,LON21 — Facade Recommissioning,Complete,Capital Improvement,EMEA,London,22230,30880,27550,2024-04-02,2024-09-23,2025-05-21,3873914,1.27,Leased,417737,174652,212943,1176487,1257916,522326,112514,Medium,$2–5M
CAP-2024-MTV-01,MTV46 — Capital Renewal,Complete,Capital Improvement,NA,Mountain View,32690,48170,41590,2023-07-04,2024-01-22,2024-11-17,9232585,1.00,Owned,1152777,354798,505074,2655847,3065046,1127137,291901,Large,$5–10M
CAP-2024-NYC-01,NYC47 — Roof & Envelope,Complete,Capital Improvement,NA,New York,25570,35510,31610,2023-10-15,2024-04-08,2024-12-04,6399456,1.00,Leased,686090,267227,316040,2059036,1996043,863008,218206,Medium,$5–10M
CAP-2023-SVL-01,SVL47 — Capital Improvement,Complete,Capital Improvement,NA,Sunnyvale,38490,56740,49330,2023-03-27,2023-10-09,2024-07-05,10485129,1.00,Owned,1344239,507039,755757,3664549,2747895,1273144,286265,Large,$10–20M
CAP-2024-SAO-01,SAO44 — Capital Renewal,Complete,Capital Improvement,LATAM,São Paulo,26730,39380,33600,2024-02-05,2024-07-15,2025-02-10,16546280,0.20,Owned,2556310,811875,1085000,4881560,4530780,2113400,491010,Medium,$2–5M
DC-2024-CHW-01,CHW19 — DC Expansion,Complete,Data Center,APAC,Changhua,92080,179620,141600,2023-08-05,2024-01-08,2025-10-29,4634005968,0.031,Owned,432483710,498334000,745958194,2422829355,172134677,219188194,111511065,XL,$20M+
DC-2025-CHW-01,CHW20 — Compute Hall,Complete,Data Center,APAC,Changhua,105590,205960,161990,2024-12-12,2025-05-19,2027-04-09,5351147000,0.031,Owned,494282000,530101355,777501258,2966180355,190016161,253546710,107334323,XL,$20M+
DC-2023-CBF-01,CBF39 — DC Expansion,Complete,Data Center,NA,Council Bluffs,87010,169710,133450,2023-04-20,2023-09-25,2025-05-17,147282779,1.00,Owned,14407048,16019920,23661469,74554951,6319052,8577976,2866052,XL,$20M+
DC-2024-CBF-01,CBF40 — Compute Hall,Complete,Data Center,NA,Council Bluffs,103220,201310,157940,2024-05-28,2024-11-04,2026-07-27,175934145,1.00,Owned,16888004,17457795,25223998,94128737,7172318,10138847,4017956,XL,$20M+
DC-2023-EEM-01,EEM36 — DC Expansion,Complete,Data Center,EMEA,Eemshaven,75880,148180,120130,2022-12-30,2023-06-30,2025-06-19,133479675,1.08,Owned,9587570,12917657,22857607,74016106,5687300,6292548,2603960,XL,$20M+
DC-2025-EEM-01,EEM37 — Data Hall,Complete,Data Center,EMEA,Eemshaven,99270,193830,156400,2024-08-08,2025-02-10,2027-04-01,177464793,1.08,Owned,15241069,17621024,30662331,92140492,8472130,10153691,4099340,XL,$20M+
DC-2024-QRO-01,QRO16 — Compute Hall,Complete,Data Center,LATAM,Querétaro,70870,138360,111400,2023-10-03,2024-04-08,2026-03-29,1233785517,0.058,Owned,95695259,141139276,167897103,712401948,45553776,55168776,23266190,XL,$20M+
DC-2023-SIN-01,SIN15 — Compute Hall,Complete,Data Center,APAC,Singapore,61360,112820,92800,2023-05-27,2023-11-13,2025-09-03,159739096,0.74,Owned,10209973,14524614,27800300,89347236,6626565,7923115,3110797,XL,$20M+
DC-2023-TDL-01,TDL30 — Compute Hall,Complete,Data Center,NA,The Dalles,111800,218080,171520,2022-11-05,2023-04-12,2025-01-01,198163292,1.00,Owned,18304215,19630675,28792371,109843378,7036665,9389324,3974796,XL,$20M+
DC-2024-TDL-01,TDL31 — Data Hall,Complete,Data Center,NA,The Dalles,137550,268280,210520,2024-03-12,2024-08-19,2026-08-09,245487533,1.00,Owned,21082679,20970334,43275779,134715485,7825534,10940917,5396056,XL,$20M+
GUC-2024-ATL-01,ATL38 — New Build,Complete,Ground-Up Construction,NA,Atlanta,113690,180660,149370,2023-08-16,2024-02-12,2025-10-04,71889898,1.00,Owned,6398529,7715518,24415052,17702497,9727796,4508254,1606487,XL,$20M+
